,AZ,SC,LA,MN,NJ,OR,,VA,RI,KY,WY,NH,MI,NV,WI,ID,CA,CT,NE,MT,NC,VT,MD,DE,MO,IL,ME,WA,ND,MS,AL,IN,OH,TN,NM,IA,PA,SD,NY,TX,WV,GA,MA,KS,FL,CO,AK,AR,OK,UT,HI,Unemployment Rate,Consumer Price Index for All Urban Consumers,Effective Federal Funds Rate,Gross Domestic Product
06-2019,1291.9094450695661,1165.8240950189693,1095.214347226921,1152.3405553779507,1491.7605131668092,1379.4156632407576,1518.6639857915036,1228.6176613380646,1390.1982638857457,884.5945560811418,927.7494551405072,1293.2488612787201,1001.2900477112659,1406.4782592204308,980.2910260028816,1107.3754253858529,1902.5826124987634,1408.8680660831628,1006.3162530132055,906.918834641701,1135.3996437914368,1428.242723752857,1249.1469281438942,1269.0157653905837,919.7112875443114,902.5422401046108,1170.007136977908,1392.1686682911795,971.78411600339,1013.316056377693,1061.1693809311316,881.0530465745701,888.2367346707915,1084.5973030041146,1125.1833778032894,900.8768533043257,1030.552079166022,892.7768258574731,1251.8283055781003,1131.8678475120073,935.3088160181771,1042.6500371735328,1693.388234278969,813.6051855477978,1388.0159200873072,1479.2551714236672,1246.6841289750469,934.1047968042711,918.8203364715127,1450.683171440383,2261.12169114851,3.6,255.213,2.38,21384.775
07-2019,1298.162411362472,1171.4980618585644,1099.1635641970017,1150.8828090414693,1490.5487488224148,1381.3685944219953,1524.9287220529884,1227.0474508986822,1387.8487325818746,889.7000423427355,934.761161507202,1296.7811050027858,1004.2898793874222,1412.0473745264662,980.312890274146,1118.7711635524377,1913.6418064836541,1411.1281970088444,1005.8507780204642,909.6304341531351,1138.8167433274766,1432.9134966531474,1253.1254053674177,1279.810500357479,922.1271160063816,902.0651406156951,1169.896443175375,1398.5748205687833,977.9636200988592,1014.4924611141171,1060.4305739853232,887.1871273396123,891.2057134495202,1088.822290965318,1138.51948525539,900.3118047414595,1034.261533248132,895.8866719526816,1255.370647035721,1134.505775121542,948.6011797079238,1049.3388532595266,1706.721290472638,816.4799075728405,1394.448097568326,1477.8947228958518,1249.4726804700194,938.4117790551423,921.7069164616756,1450.493052959605,2265.100183335974,3.7,255.802,2.4,21694.282
08-2019,1301.787595636531,1173.2057399806693,1096.604475052375,1152.1024275004218,1490.8881784713346,1384.8736973635364,1528.3581415949934,1228.94069811437,1385.4705654084664,892.2016630616805,941.7574517276792,1308.3887484710112,1007.8180611704752,1414.9171888947442,979.015774922065,1123.856341540727,1916.9691881202657,1414.4695231491692,1004.8845857858616,908.2875572244876,1139.6087795938477,1429.822809934396,1253.6383779893065,1279.9962336047251,920.9734334589817,907.0475447025539,1165.4185571694445,1402.54712431877,975.2931449725213,1017.7986046614942,1063.2640393768029,886.8196331501297,889.9650631743359,1093.3690664710357,1145.6782213525105,901.4856321674273,1036.2456404778854,895.1864956984512,1258.4779459478,1134.2368360081684,949.103167176622,1051.6332928467207,1706.1761691633335,813.8378324049633,1402.6055932496495,1482.3357169319822,1251.8615273561122,940.9718391408214,922.581376974215,1456.7725137096063,2274.677514237344,3.6,256.036,2.13,21694.282
09-2019,1304.1498110853333,1174.8143288395986,1091.8329877442927,1145.6657748161845,1483.3365753565909,1384.4568583746461,1528.5137829051437,1224.0985183289904,1392.4277158564942,889.8560547819458,943.10300914608,1315.0038150127343,1010.5159817595973,1418.8050209506587,979.9315414944786,1125.5800579727613,1917.1532211362032,1414.9474950717129,999.1211115747576,908.0153652012114,1141.2877602658339,1433.039056100166,1251.9949882688225,1283.6171126864183,920.9686216675876,909.1125235840615,1167.5202326216504,1403.5211495549725,974.5835922965545,1024.9206819516403,1062.4980112756007,889.6515525923096,891.2577341214608,1094.70032907303,1153.422947945379,901.5203152083033,1038.0695793029759,900.2747338324936,1264.391229658547,1130.9905499957115,953.0403410944846,1059.2607710317566,1692.5785754211754,815.0659937166168,1412.007777528988,1481.3046504108784,1255.6551968416409,939.3276437939032,924.0785148647834,1454.432012311489,2280.3010255474287,3.5,256.43,2.04,21694.282
10-2019,1301.7822645478768,1172.3487387934906,1085.2128359411513,1147.0513471656006,1494.422654684225,1382.4384083113962,1527.2467239858472,1228.5138357681951,1397.182531780316,886.9385244003919,938.8463091415379,1311.0777467028818,1013.1602981215143,1418.1420093802017,982.9861861922874,1122.8588520049905,1916.2699519336588,1416.0039620054054,995.8148904757591,908.8894968967421,1142.0462395438246,1449.152837342152,1252.721576580571,1273.3203263889964,919.9787216355729,911.4133656156192,1168.0698139207686,1405.7274077397544,965.4129637210792,1032.4921978712885,1066.2029182192105,889.7667177436708,891.7434098588258,1094.0631953171835,1148.718826210795,906.8050625689758,1038.4903223883184,895.7927449960143,1264.3968933312049,1128.953591892101,943.4346183288362,1059.291559171533,1692.0766343785483,815.7232702229081,1420.8631707926274,1489.4063641681398,1248.4597567282738,939.0016006208484,922.854365481517,1451.5973894951137,2284.7333896904875,3.6,257.155,1.83,21902.39
11-2019,1304.6744100881072,1175.3459035888513,1084.6400187202423,1145.843582604652,1500.9549745248353,1381.454564543757,1526.228349850725,1229.6608122575878,1395.3775784124318,886.0420146840145,934.7282193809133,1313.847060429594,1014.1141452927639,1416.5386655775728,987.8383222866593,1121.3632536495943,1916.5464751771028,1410.275758374726,996.4027927395507,905.3248666346936,1143.5979097389636,1451.3804932338712,1255.9808478459352,1290.7360547895455,921.3743989670832,906.661092809608,1174.1150567368115,1404.2056550331872,969.4581044473941,1036.3362731075972,1065.410523561454,889.4541068462345,893.1992305660185,1093.5495564085586,1141.2890659923744,909.6825362607748,1040.4656966274003,894.1419685061082,1264.9635709916506,1126.4333021909206,946.2541664515768,1060.1061148900385,1687.8148135381023,823.5132655492398,1425.1546176976963,1489.9810863023165,1243.7194666518872,936.458529072603,925.6414077298183,1281.89130024443,2283.297637095752,3.6,257.879,1.55,21902.39
12-2019,1308.5852523023848,1174.5448211978735,1083.3949661512906,1154.314681625819,1512.5444353731364,1382.157795741126,1527.4115138265327,1234.5222786454954,1389.5894435629803,886.8933499999421,940.2704579015676,1317.074372131884,1013.2704401778643,1414.2171175860008,993.5948684746686,1127.0499530436073,1919.3715770370018,1414.2128465744086,1000.127636599901,899.9198663084684,1143.0366118520012,1433.5420615085438,1261.7363350796065,1293.3394571051817,922.9427349958418,904.7095361941283,1170.142542497849,1403.0331251200566,972.078873679131,1038.3449555001716,1065.8137900574757,885.2171475201741,892.9747994291738,1098.4203556752088,1143.0021068281685,911.8083846170894,1040.752880969336,896.6003449639845,1263.3410230254303,1125.6684357020206,951.2564552103614,1058.052677631286,1731.2294642048143,826.0844316735158,1428.1568929871635,1497.5428387219656,1237.982125831662,939.2847373697148,925.6228633270448,1459.8216665992131,2288.548005356387,3.6,258.63,1.55,21902.39
01-2020,1319.9712247951547,1181.8099128860135,1086.1531167435712,1160.1447798863842,1517.825314707887,1389.759720821404,1532.7769399536755,1240.3388393730306,1397.8173097669955,889.5603898274449,952.0838275998758,1333.361278451876,1014.469823032076,1416.5476087783472,996.4259340158982,1132.688614817638,1926.3998901375737,1420.3869700545417,1004.9379466129894,893.4437440929786,1147.4843938579481,1379.215873575595,1267.5026522881856,1301.0680921808103,927.7834442272355,910.970586850807,1173.99324416724,1412.0622798560971,978.4776333582786,1039.3308849600733,1071.479759083805,888.0767423545961,896.0628368993554,1106.2381723048738,1149.3681500644016,914.8744859476492,1042.874136039315,903.9571686846097,1266.54440125034,1128.9862387479507,959.9668162354136,1062.5771652849876,1750.7068325152961,830.0465335675548,1427.2312345551816,1500.270186329967,1242.0794932841018,940.3570656702254,929.6695299551976,1479.324749773627,2289.5793889764554,3.6,258.906,1.55,21706.513
02-2020,1328.298116906157,1187.7097720330923,1084.9994408133696,1163.993104382894,1523.34790413998,1392.5156672782305,1541.3851763606547,1245.9080897161257,1416.2848906223214,893.746143840676,958.6382046556207,1337.9881266318016,1020.690677486522,1422.9079037565884,1001.0572151355119,1140.564790602051,1935.702213348689,1436.4119599604915,1008.5454130751375,903.0469526070043,1151.8222395602857,1392.675576913395,1278.1565168112754,1299.0984542781666,934.568728585916,914.9700732146459,1178.0551244735093,1424.897565213859,974.1404070605229,1043.9235174491218,1074.3441692430615,892.4292377313673,900.6456826556954,1112.3228259651694,1164.9953949535836,916.1238429910836,1047.3864327197696,909.961238189559,1276.9205318140964,1137.1338547806943,961.3858181848191,1069.4140416532846,1805.3155511889418,830.912746531804,1431.2310546540682,1515.093822083698,1244.4410133019778,946.8921666601684,931.4578776945117,1489.8642888503987,2297.5874662051892,3.5,259.246,1.58,21706.513
03-2020,1339.4998301627797,1193.609953791734,1090.8917296143031,1166.4666969716511,1529.9750017138292,1399.8683260846117,1549.7982570868976,1252.0703814364183,1433.9379455652115,894.2478255430455,955.0109993607662,1330.343339109159,1026.4039492572936,1430.876947651429,1003.9561267885965,1146.0851877021653,1942.514147180495,1446.9212604100203,1017.6933145435005,911.6786713057044,1159.531953005637,1411.9245184029642,1283.6151369952238,1307.1955690584682,941.782154117365,920.255720402175,1190.600422966252,1442.594178303558,974.4860118552665,1050.0171421307548,1080.9334297714722,899.466394455033,908.520548270773,1114.3178329900663,1167.9750441725012,919.7963898467989,1055.4604914225206,912.4243881364828,1285.4933099517477,1143.0250095158383,954.7215480191528,1076.4458410375971,1798.8832512140941,834.0560624211588,1434.372991221212,1518.7243250363686,1252.1776333986509,952.8957662269165,935.3094241045833,1488.6726918463987,2290.599193732453,4.4,258.15,0.65,21706.513
04-2020,1340.4282418846028,1191.72251691788,1090.4391463517445,1168.4345177187258,1526.0054616299353,1396.4939804907833,1549.7903561577664,1256.0802605499007,1441.7817291004706,897.8661641638766,949.6706225804843,1328.2903911551275,1031.049734615304,1427.5442864755269,1009.7495405312823,1153.5102380414098,1939.780537920198,1459.0995995732071,1028.4076009850346,920.5478329491356,1163.4026654032766,1459.1512835786607,1286.7819658140913,1297.1485714938508,945.7586185875604,917.7734678535664,1201.9604909718134,1444.305197966803,979.159531793414,1057.5275117096219,1082.9451749767388,900.5314380077269,913.5412927844978,1117.6684169351163,1163.412403479506,915.8001018487454,1059.9618639437826,913.9999575264158,1287.4436466950758,1142.097370400367,953.0626779751951,1067.904115871555,1808.4910415144707,833.6023959269102,1432.6590913654081,1524.6137430969218,1251.159073399726,956.3635186870832,936.6956584475593,1476.7333711910444,2279.4351703830725,14.8,256.126,0.05,19913.143
05-2020,1341.6308264092663,1190.5618014729125,1095.2520919356198,1171.2609114462798,1517.9013806879807,1401.646408064311,1547.9519143072278,1258.0193110519908,1439.4169417800729,899.1646086556069,902.6102288270907,1336.3796850566546,1032.2396187534923,1425.7511929482139,1015.640836294731,1159.3840519825978,1940.3345867915114,1463.6988928851256,1036.5941868515135,924.6039022774925,1168.7713651338252,1459.5372714152525,1282.9616882728742,1298.3335064423172,948.2589486447589,920.4110587401397,1209.42636012762,1447.3836272025046,990.7223303599364,1059.6417166912795,1088.749054780422,906.095592966315,920.1878309868332,1121.5035493859823,1152.6353492121345,915.291819044243,1062.0128625779075,916.0908193693518,1285.9027934203295,1136.2528655104204,954.8047275613503,1070.5538229385613,1788.152439802304,835.8744382918912,1431.1549589697302,1516.6254832607258,1258.9627204698306,959.2272118177395,940.8950580976122,1469.380640194395,2263.625863096624,13.2,255.848,0.05,19913.143
06-2020,1348.6675832517337,1196.9200766287738,1101.1636638442046,1169.029271859034,1520.6692191925,1409.663944411652,1547.5734483407305,1260.4020703767844,1441.0207494302608,911.4630104458422,901.4336440284193,1359.7149676273661,1036.3258602298458,1425.7956777339477,1015.1346483595863,1165.2728599233026,1943.8515029507898,1465.7392866634686,1041.4650370155728,936.9312300469452,1175.6137409677015,1476.5111082160613,1289.0807089579282,1307.062070350035,952.6662832606833,923.6271764128312,1226.5278546262875,1448.8540394547565,988.9878264913939,1063.9628172384473,1093.754251159027,910.4665346753326,922.5330051617523,1128.3569766638213,1154.8345256092962,915.4914379452545,1067.773768261914,919.1738235666486,1289.5244419824185,1134.1525880875727,963.3330012463143,1075.9924760053852,1774.4454325743134,836.9421687764992,1431.6798781649575,1510.5392389894025,1259.0500846656519,962.5522469120374,943.9000192374452,1473.0398884625063,2257.858799435739,11.0,257.004,0.08,19913.143
07-2020,1362.562449613524,1209.0680068872423,1110.209234728026,1173.408087204454,1536.899082319333,1428.9467649011563,1552.694793705927,1269.0414987844265,1446.7122112566117,918.9309027182969,948.689495251089,1374.8214424246746,1044.3875269055475,1439.154515962599,1017.539003800747,1180.8924777104696,1954.324318992421,1474.3204779631903,1046.729304685475,952.1047046425718,1183.569380950637,1497.7765581182496,1297.5685826805102,1329.6216569534154,960.3215856515046,927.9027596656191,1243.6347294446912,1461.9906172671112,991.1075317313054,1066.6771258143253,1101.333645845369,918.6349347556747,928.2131070339179,1137.0473719977072,1160.7690420052877,918.1226998216589,1076.4139731612174,920.4519893661347,1298.4858771944448,1135.4385241581008,970.1943454005423,1084.8700295798633,1770.5111142787273,841.8938114811738,1445.6558511045664,1514.3067327907124,1267.3432471553615,970.5069208345657,950.7470759629596,1492.4204226849722,2263.189443018047,10.2,258.408,0.09,21647.64
